Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Pace,Best Pace,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time
Open Water Swimming,2025-03-30 07:17:51,false,"Salvador Open Water Swimming","7,894","1,430","02:35:40","141","161","4.2","1:58","0:30","0.0","3675","41","23","-26","29.0","No","00:07:12.6","16","29.0","02:29:42","02:35:40"
Open Water Swimming,2025-03-29 06:59:24,false,"Salvador Open Water Swimming","1,312","311","00:39:46","121","159","2.2","3:02","0:36","0.0","651","58","16","-7","28.0","No","00:11:09","3","30.0","00:31:56","00:39:46"
Open Water Swimming,2025-03-26 07:13:00,false,"Florianópolis Open Water Swimming","2,519","467","00:58:35","124","154","2.8","2:19","0:17","0.0","871","44","17","-10","23.0","No","00:00:02.5","6","29.0","00:48:24","00:58:35"
Pool Swim,2025-03-21 19:40:31,false,"Pool Swim","2,525","546","00:45:41","139","180","3.3","1:43","1:09","0.0","989","35","23","--","--","No","00:00:03.5","5","--","00:43:09","00:53:18"
Open Water Swimming,2025-03-21 06:00:43,false,"Florianópolis Open Water Swimming","1,641","313","00:49:06","110","136","1.3","3:00","0:26","0.0","992","60","20","-7","23.0","No","00:02:55.7","4","25.0","00:42:34","00:49:06"
Open Water Swimming,2025-03-19 07:15:04,false,"Florianópolis Open Water Swimming","2,064","448","00:51:30","126","158","2.7","2:30","1:07","0.0","1040","50","20","-9","22.0","No","00:02:11.6","5","31.0","00:45:27","00:51:30"
Open Water Swimming,2025-03-17 07:11:32,false,"Florianópolis Open Water Swimming","2,108","537","00:56:34","133","172","3.0","2:41","0:51","0.0","802","50","15","-11","23.0","No","00:04:47.1","5","30.0","00:44:06","00:56:34"
Pool Swim,2025-03-14 19:36:39,false,"Pool Swim","3,200","426","00:53:22","104","119","0.6","1:40","1:18","0.0","1390","36","26","--","--","No","00:53:22","1","--","00:53:22","00:53:28"
Open Water Swimming,2025-03-14 07:17:29,false,"Florianópolis Open Water Swimming","1,964","421","00:53:45","125","186","2.6","2:44","0:31","0.0","773","51","14","-9","21.0","No","00:10:56","4","29.0","00:40:38","00:53:45"
Pool Swim,2025-03-12 20:30:30,false,"Pool Swim","2,425","401","00:44:13","114","141","1.5","1:49","1:14","0.0","1028","38","23","--","--","No","00:44:13","1","--","00:44:13","00:44:18"
Open Water Swimming,2025-03-12 07:17:16,false,"Florianópolis Open Water Swimming","1,874","374","00:45:35","123","155","2.2","2:26","1:07","0.0","916","49","20","-7","20.0","No","00:08:28.3","4","26.0","00:41:43","00:45:35"
Pool Swim,2025-03-10 20:29:18,false,"Pool Swim","2,450","554","00:44:51","139","165","3.0","1:48","0:56","0.0","1092","38","25","--","--","No","00:44:51","1","--","00:44:15","00:44:57"
